Date,Total Load [MW]
31/12/2024 23:45:00,12765.71
31/12/2024 23:30:00,13010.70
31/12/2024 23:15:00,13235.32
31/12/2024 23:00:00,13476.20
31/12/2024 22:45:00,13715.19
31/12/2024 22:30:00,13946.35
31/12/2024 22:15:00,14144.18
31/12/2024 22:00:00,14388.13
31/12/2024 21:45:00,14645.52
31/12/2024 21:30:00,14894.67
31/12/2024 21:15:00,15084.22
31/12/2024 21:00:00,15330.90
31/12/2024 20:45:00,15642.94
31/12/2024 20:30:00,15966.48
31/12/2024 20:15:00,16343.75
31/12/2024 20:00:00,16823.92
31/12/2024 19:45:00,17212.82
31/12/2024 19:30:00,17504.71
31/12/2024 19:15:00,17743.24
31/12/2024 19:00:00,17989.89
31/12/2024 18:45:00,18127.92
31/12/2024 18:30:00,18102.99
31/12/2024 18:15:00,18143.80
31/12/2024 18:00:00,18190.46
31/12/2024 17:45:00,18223.97
31/12/2024 17:30:00,18111.29
31/12/2024 17:15:00,17913.92
31/12/2024 17:00:00,17459.46
31/12/2024 16:45:00,16826.57
31/12/2024 16:30:00,16319.19
31/12/2024 16:15:00,16143.85
31/12/2024 16:00:00,15961.00
31/12/2024 15:45:00,15720.47
31/12/2024 15:30:00,15669.05
31/12/2024 15:15:00,15743.92
31/12/2024 15:00:00,15798.84
31/12/2024 14:45:00,15831.77
31/12/2024 14:30:00,15912.57
31/12/2024 14:15:00,15753.37
31/12/2024 14:00:00,15718.81
31/12/2024 13:45:00,16174.58
31/12/2024 13:30:00,16512.24
31/12/2024 13:15:00,16647.22
31/12/2024 13:00:00,16828.72
31/12/2024 12:45:00,17028.99
31/12/2024 12:30:00,17176.67
31/12/2024 12:15:00,17347.31
31/12/2024 12:00:00,17471.07
31/12/2024 11:45:00,17550.05
31/12/2024 11:30:00,17611.22
31/12/2024 11:15:00,17553.34
31/12/2024 11:00:00,17304.79
31/12/2024 10:45:00,17191.04
31/12/2024 10:30:00,17269.97
31/12/2024 10:15:00,17218.06
31/12/2024 10:00:00,17234.80
31/12/2024 09:45:00,17244.80
31/12/2024 09:30:00,17302.96
31/12/2024 09:15:00,17208.44
31/12/2024 09:00:00,17099.35
31/12/2024 08:45:00,16862.64
31/12/2024 08:30:00,16631.67
31/12/2024 08:15:00,16495.08
31/12/2024 08:00:00,16181.06
31/12/2024 07:45:00,15715.35
31/12/2024 07:30:00,15373.33
31/12/2024 07:15:00,14992.97
31/12/2024 07:00:00,14550.80
31/12/2024 06:45:00,13901.91
31/12/2024 06:30:00,13452.76
31/12/2024 06:15:00,13093.75
31/12/2024 06:00:00,12586.53
31/12/2024 05:45:00,12013.42
31/12/2024 05:30:00,11724.26
31/12/2024 05:15:00,11490.47
31/12/2024 05:00:00,11259.70
31/12/2024 04:45:00,10979.42
31/12/2024 04:30:00,10903.45
31/12/2024 04:15:00,10813.84
31/12/2024 04:00:00,10741.54
31/12/2024 03:45:00,10642.43
31/12/2024 03:30:00,10638.82
31/12/2024 03:15:00,10670.19
31/12/2024 03:00:00,10703.63
31/12/2024 02:45:00,10698.95
31/12/2024 02:30:00,10750.83
31/12/2024 02:15:00,10780.72
31/12/2024 02:00:00,10855.34
31/12/2024 01:45:00,10928.26
31/12/2024 01:30:00,11057.47
31/12/2024 01:15:00,11197.55
31/12/2024 01:00:00,11437.38
31/12/2024 00:45:00,11733.01
31/12/2024 00:30:00,11948.24
31/12/2024 00:15:00,11979.75
31/12/2024 00:00:00,12552.51
30/12/2024 23:45:00,12722.72
30/12/2024 23:30:00,12995.70
30/12/2024 23:15:00,13327.31
30/12/2024 23:00:00,13646.61
30/12/2024 22:45:00,13959.33
30/12/2024 22:30:00,14293.47
30/12/2024 22:15:00,14709.76
30/12/2024 22:00:00,15111.30
30/12/2024 21:45:00,15574.10
30/12/2024 21:30:00,15965.13
30/12/2024 21:15:00,16268.02
30/12/2024 21:00:00,16649.48
30/12/2024 20:45:00,17074.06
30/12/2024 20:30:00,17311.02
30/12/2024 20:15:00,17656.40
30/12/2024 20:00:00,17971.57
30/12/2024 19:45:00,18411.60
30/12/2024 19:30:00,18727.18
30/12/2024 19:15:00,18942.40
30/12/2024 19:00:00,19084.57
30/12/2024 18:45:00,19104.56
30/12/2024 18:30:00,19051.12
30/12/2024 18:15:00,18981.93
30/12/2024 18:00:00,18995.49
30/12/2024 17:45:00,18960.89
30/12/2024 17:30:00,18916.12
30/12/2024 17:15:00,18875.04
30/12/2024 17:00:00,18594.82
30/12/2024 16:45:00,18052.86
30/12/2024 16:30:00,17564.21
30/12/2024 16:15:00,17375.94
30/12/2024 16:00:00,17235.64
30/12/2024 15:45:00,17061.61
30/12/2024 15:30:00,17003.38
30/12/2024 15:15:00,17041.21
30/12/2024 15:00:00,17164.20
30/12/2024 14:45:00,17243.77
30/12/2024 14:30:00,17336.98
30/12/2024 14:15:00,17206.98
30/12/2024 14:00:00,17197.69
30/12/2024 13:45:00,17529.42
30/12/2024 13:30:00,17849.51
30/12/2024 13:15:00,18023.60
30/12/2024 13:00:00,18103.55
30/12/2024 12:45:00,18362.85
30/12/2024 12:30:00,18513.58
30/12/2024 12:15:00,18677.34
30/12/2024 12:00:00,18940.11
30/12/2024 11:45:00,19145.82
30/12/2024 11:30:00,19107.86
30/12/2024 11:15:00,19070.32
30/12/2024 11:00:00,18741.17
30/12/2024 10:45:00,18614.26
30/12/2024 10:30:00,18774.67
30/12/2024 10:15:00,18803.98
30/12/2024 10:00:00,18850.15
30/12/2024 09:45:00,18897.67
30/12/2024 09:30:00,18898.90
30/12/2024 09:15:00,18786.71
30/12/2024 09:00:00,18582.30
30/12/2024 08:45:00,18314.85
30/12/2024 08:30:00,17989.34
30/12/2024 08:15:00,17658.54
30/12/2024 08:00:00,17323.63
30/12/2024 07:45:00,16883.01
30/12/2024 07:30:00,16511.74
30/12/2024 07:15:00,15957.86
30/12/2024 07:00:00,15243.83
30/12/2024 06:45:00,14451.43
30/12/2024 06:30:00,13929.50
30/12/2024 06:15:00,13503.88
30/12/2024 06:00:00,13006.45
30/12/2024 05:45:00,12328.02
30/12/2024 05:30:00,11926.83
30/12/2024 05:15:00,11622.98
30/12/2024 05:00:00,11350.92
30/12/2024 04:45:00,11002.91
30/12/2024 04:30:00,10879.29
30/12/2024 04:15:00,10776.85
30/12/2024 04:00:00,10665.94
30/12/2024 03:45:00,10548.31
30/12/2024 03:30:00,10545.92
30/12/2024 03:15:00,10545.93
30/12/2024 03:00:00,10540.93
30/12/2024 02:45:00,10524.38
30/12/2024 02:30:00,10587.14
30/12/2024 02:15:00,10629.80
30/12/2024 02:00:00,10699.67
30/12/2024 01:45:00,10748.95
30/12/2024 01:30:00,10834.13
30/12/2024 01:15:00,10918.43
30/12/2024 01:00:00,11047.59
30/12/2024 00:45:00,11211.86
30/12/2024 00:30:00,11427.31
30/12/2024 00:15:00,11680.88
30/12/2024 00:00:00,11696.98
29/12/2024 23:45:00,12112.92
29/12/2024 23:30:00,12396.99
29/12/2024 23:15:00,12684.46
29/12/2024 23:00:00,12925.68
29/12/2024 22:45:00,13164.51
29/12/2024 22:30:00,13475.59
29/12/2024 22:15:00,13720.21
29/12/2024 22:00:00,14062.94
29/12/2024 21:45:00,14456.59
29/12/2024 21:30:00,14812.43
29/12/2024 21:15:00,15123.80
29/12/2024 21:00:00,15475.09
29/12/2024 20:45:00,15821.93
29/12/2024 20:30:00,16114.79
29/12/2024 20:15:00,16400.09
29/12/2024 20:00:00,16660.32
29/12/2024 19:45:00,16914.14
29/12/2024 19:30:00,17061.75
29/12/2024 19:15:00,17236.52
29/12/2024 19:00:00,17221.87
29/12/2024 18:45:00,17111.06
29/12/2024 18:30:00,16926.12
29/12/2024 18:15:00,16757.96
29/12/2024 18:00:00,16577.53
29/12/2024 17:45:00,16385.82
29/12/2024 17:30:00,16209.78
29/12/2024 17:15:00,15997.09
29/12/2024 17:00:00,15587.17
29/12/2024 16:45:00,14977.46
29/12/2024 16:30:00,14505.19
29/12/2024 16:15:00,14285.78
29/12/2024 16:00:00,14116.42
29/12/2024 15:45:00,13886.46
29/12/2024 15:30:00,13884.21
29/12/2024 15:15:00,13952.58
29/12/2024 15:00:00,14084.55
29/12/2024 14:45:00,14096.98
29/12/2024 14:30:00,14165.45
29/12/2024 14:15:00,14129.93
29/12/2024 14:00:00,14064.97
