name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Roma, Lazio, Italia",2024-01-01,14.1,10.9,12.9,14.1,10.9,12.9,10,83,0.676,100,4.17,rain,0,0,30.6,16.1,185.1,1014.8,72.3,9.8,54.7,4.7,2,,2024-01-01T07:37:52,2024-01-01T16:49:02,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"16217099999,E2310,16242099999,16239099999,16219099999,16224099999,LIRA"
"Roma, Lazio, Italia",2024-01-02,14.8,5.6,10.4,14.8,4.7,10.1,7.1,81.4,0.027,100,4.17,rain,0,0,22.7,16.1,178.6,1017.6,50.1,10.1,96.6,8.3,4,,2024-01-02T07:37:58,2024-01-02T16:49:53,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"E2310,16242099999,16239099999,16219099999,16224099999"
"Roma, Lazio, Italia",2024-01-03,15.7,12.4,14.2,15.7,12.4,14.2,10.5,78.5,0.027,100,4.17,rain,0,0,36.4,20.7,177.8,1014.4,75.1,10.1,46.4,4,5,,2024-01-03T07:38:01,2024-01-03T16:50:46,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"E2310,16242099999,16239099999,16219099999,16224099999,LIRA,16234099999"
"Roma, Lazio, Italia",2024-01-04,18,10.6,13.9,18,10.6,13.9,10.3,80.8,0,0,0,,0,0,20.2,13.6,161.5,1012.8,44.9,9.9,92.6,8.2,4,,2024-01-04T07:38:02,2024-01-04T16:51:41,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E2310,16242099999,16239099999,16224099999,LIRA"
"Roma, Lazio, Italia",2024-01-05,15.8,9.4,13.7,15.8,9.1,13.6,10.2,80.2,1.349,100,4.17,rain,0,0,42.1,30.5,144.9,1009.5,69.3,9.8,50.9,4.5,4,,2024-01-05T07:38:01,2024-01-05T16:52:37,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"E2310,16242099999,16239099999,16219099999,16224099999"
"Roma, Lazio, Italia",2024-01-06,15.8,11,13.4,15.8,11,13.4,10.3,82.1,14.168,100,12.5,rain,0,0,39.2,25.9,137.2,997.7,66.6,9.3,51.5,4.4,4,,2024-01-06T07:37:58,2024-01-06T16:53:35,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"E2310,16242099999,16239099999,16224099999,LIRA"
"Roma, Lazio, Italia",2024-01-07,11.8,9.2,10.3,11.8,7.4,9.9,9.3,93.3,2.251,100,12.5,rain,0,0,18.7,15.4,11.1,994.8,71,8.3,24.8,2,2,,2024-01-07T07:37:52,2024-01-07T16:54:34,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"E2310,16242099999,16239099999,16219099999,16224099999"
"Roma, Lazio, Italia",2024-01-08,12.9,8,9.8,12.9,5.6,8.6,5.9,77.7,0.122,100,4.17,rain,0,0,26.6,19.6,23,1003.1,74.1,10.5,64.1,5.6,3,,2024-01-08T07:37:43,2024-01-08T16:55:34,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"E2310,16242099999,16239099999,16224099999"
"Roma, Lazio, Italia",2024-01-09,11.1,4.9,8,11.1,1.9,6.3,3.3,72.7,0,0,0,,0,0,26.3,19.2,36.9,1016,48,10.7,71.4,6.2,3,,2024-01-09T07:37:33,2024-01-09T16:56:36,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E2310,16242099999,16239099999,AT416,16224099999,16234099999"
"Roma, Lazio, Italia",2024-01-10,11.4,6.2,8.3,11.4,4,6.8,4.6,78,0.676,100,12.5,rain,0,0,14.8,13.6,35,1022.4,72.7,10,49.9,4.4,3,,2024-01-10T07:37:20,2024-01-10T16:57:39,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"16242099999,16239099999,16219099999,AT416,16224099999"
"Roma, Lazio, Italia",2024-01-11,11.2,5.5,8.4,11.2,3,6.7,2.9,68.8,0,0,0,,0,0,20.5,17.4,36.5,1018.4,53.9,10.7,66.2,5.7,4,,2024-01-11T07:37:04,2024-01-11T16:58:44,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16242099999,16239099999,AT416,16224099999"
"Roma, Lazio, Italia",2024-01-12,12.1,2.6,6.6,12.1,-0.6,4.5,0.4,66,0,0,0,,0,0,26.6,15.8,24.3,1018.4,0.7,10.8,104.3,9.1,4,,2024-01-12T07:36:47,2024-01-12T16:59:49,0.03,Clear,Clear conditions throughout the day.,clear-day,"16242099999,16239099999,AT416,16224099999"
"Roma, Lazio, Italia",2024-01-13,11.2,2.3,5.8,11.2,-1.2,3.7,-0.9,62.8,0,0,0,,0,0,25.6,15.5,41.2,1021.7,1.3,11.8,105.3,9.1,5,,2024-01-13T07:36:27,2024-01-13T17:00:56,0.07,Clear,Clear conditions throughout the day.,clear-day,"16242099999,16239099999,AT416,16224099999"
"Roma, Lazio, Italia",2024-01-14,12.9,2.9,8.1,12.9,1,7.6,3.9,74.6,0,0,0,,0,0,22.7,16.9,165.8,1015.5,64.5,10,59.8,5.2,3,,2024-01-14T07:36:05,2024-01-14T17:02:04,0.1,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"16242099999,16239099999,AT416,16224099999"
"Roma, Lazio, Italia",2024-01-15,14.2,9.3,11.8,14.2,7.9,11.7,9.4,86,4.298,100,12.5,rain,0,0,25.9,16,169.2,1004.1,60.4,9.5,44.5,3.9,3,,2024-01-15T07:35:40,2024-01-15T17:03:12,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"16242099999,16239099999,AT416,16224099999"
"Roma, Lazio, Italia",2024-01-16,15.9,5.9,11.1,15.9,4.2,10.5,8.9,86.8,0.18,100,8.33,rain,0,0,27.7,16.4,143.3,1008.4,43.3,9.9,86.8,7.5,5,,2024-01-16T07:35:14,2024-01-16T17:04:22,0.17,"Rain, Partially cloudy",Clearing in the afternoon with rain.,rain,"16242099999,16239099999,AT416,16224099999"
"Roma, Lazio, Italia",2024-01-17,16.3,12.3,14.5,16.3,12.3,14.5,12.2,86.5,2.011,100,12.5,rain,0,0,44.3,26.7,160,1008.4,64,8.8,19.1,1.7,2,,2024-01-17T07:34:45,2024-01-17T17:05:32,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"16242099999,16239099999,16219099999,AT416,16224099999"
"Roma, Lazio, Italia",2024-01-18,17.6,14.3,15.5,17.6,14.3,15.5,11.5,77.1,2.215,100,8.33,rain,0,0,50,28.5,194.9,1003.8,58.7,9.7,92.8,8,4,,2024-01-18T07:34:13,2024-01-18T17:06:44,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"16242099999,16239099999,AT416,16224099999,16234099999"
"Roma, Lazio, Italia",2024-01-19,16.8,12.5,14.7,16.8,12.5,14.7,10.9,78.1,0,0,0,,0,0,34.6,17.1,192.9,1008,52.3,9.7,60.9,5.3,4,,2024-01-19T07:33:40,2024-01-19T17:07:56,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16242099999,16239099999,AT416,16224099999,16234099999"
"Roma, Lazio, Italia",2024-01-20,12.2,4.3,8.2,12.2,1.1,5.8,0.4,59.6,0.425,100,8.33,rain,0,0,43.2,24.5,18.9,1016.2,50.9,10,78.1,6.7,5,,2024-01-20T07:33:05,2024-01-20T17:09:08,0.31,"Rain, Partially cloudy",Clearing in the afternoon with rain in the morning and afternoon.,rain,"16242099999,16239099999,AT416,16224099999"
"Roma, Lazio, Italia",2024-01-21,12.7,1.8,6.3,12.7,-1.8,4.3,-5.3,44.9,0,0,0,,0,0,27.7,19.2,35,1027.8,25.1,10,119.8,10.4,5,,2024-01-21T07:32:27,2024-01-21T17:10:22,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16242099999,16239099999,AT416,16224099999"
"Roma, Lazio, Italia",2024-01-22,12.7,1.3,5.8,12.7,-1.2,4.5,-1.5,60.8,0,0,0,,0,0,16.2,11.2,56.5,1031.7,30.8,11.8,116.9,10,5,,2024-01-22T07:31:47,2024-01-22T17:11:36,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16242099999,16239099999,AT416,16224099999,LIRA"
"Roma, Lazio, Italia",2024-01-23,15,5.2,9.9,15,3.1,9.2,5.1,73.4,0.126,100,4.17,rain,0,0,28.1,22.5,36,1028.2,49.4,10.3,108.3,9.4,5,,2024-01-23T07:31:05,2024-01-23T17:12:50,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"LIRF,16242099999,16239099999,AT416,16224099999,LIRA"
"Roma, Lazio, Italia",2024-01-24,15.6,3.5,8.9,15.6,2.2,8.4,5.2,79.5,0,0,0,,0,0,13.3,11.2,45.1,1031.1,42.2,10.7,115.9,10.2,5,,2024-01-24T07:30:21,2024-01-24T17:14:05,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16242099999,16239099999,AT416,16224099999"
"Roma, Lazio, Italia",2024-01-25,15.6,8.1,10.7,15.6,6.8,10.3,7.8,82.7,0,0,0,,0,0,18.4,9.7,36.4,1025.8,54.8,9.8,84.3,7.3,4,,2024-01-25T07:29:36,2024-01-25T17:15:21,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16242099999,16239099999,16219099999,AT416,16224099999,LIRA"
"Roma, Lazio, Italia",2024-01-26,14.1,5.9,10.1,14.1,4.9,9.7,7.7,85.5,0,0,0,,0,0,10.4,10,30.4,1026.3,67.3,9.7,38,3.3,2,,2024-01-26T07:28:48,2024-01-26T17:16:37,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16242099999,16239099999,AT416,16224099999"
"Roma, Lazio, Italia",2024-01-27,15.4,8,11.1,15.4,6.8,11,7.4,78.9,0,0,0,,0,0,12.6,10.5,22.8,1027.6,33.2,10.1,111.3,9.7,5,,2024-01-27T07:27:58,2024-01-27T17:17:53,0.56,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"16242099999,16239099999,16219099999,AT416,16224099999"
"Roma, Lazio, Italia",2024-01-28,15,5.2,9.2,15,3.7,8.6,5.4,78.3,0,0,0,,0,0,17.3,12.4,19.1,1033.3,14.3,9.8,97.5,8.5,5,,2024-01-28T07:27:06,2024-01-28T17:19:09,0.59,Clear,Clear conditions throughout the day.,clear-day,"16242099999,16239099999,AT416,16224099999"
"Roma, Lazio, Italia",2024-01-29,14.1,2.1,7.4,14.1,0.1,6.4,2.4,71.6,0,0,0,,0,0,14.4,10.5,48.9,1034.3,8.4,10.5,96.9,8.4,5,,2024-01-29T07:26:12,2024-01-29T17:20:26,0.62,Clear,Clear conditions throughout the day.,clear-day,"16242099999,16239099999,16219099999,AT416,16224099999,LIRA"
"Roma, Lazio, Italia",2024-01-30,13.9,2.1,7.2,13.9,-0.2,6.3,2.9,75.6,0,0,0,,0,0,14.4,8.9,32.6,1034.7,9,10.6,121.4,10.6,5,,2024-01-30T07:25:17,2024-01-30T17:21:43,0.65,Clear,Clear conditions throughout the day.,clear-day,"16242099999,16239099999,AT416,16224099999"
